time_s,strain_1,strain_2,strain_3,strain_4,strain_5,strain_6,strain_7,strain_8,strain_9,strain_10,strain_11,strain_12,strain_13,strain_14,strain_15,strain_16
110273.4693877551,-21.749169757497548,22.258960908776118,21.460906376349968,77.42253068426429,24.111029052320912,-9.837561067918212,-7.855728708615687,71.34848316991061,1.5617868591848805,-17.734504393518748,18.820096771507806,-2.042935526528393,-2.000091040366471,-9.525639656417939,-10.834768185183831,-123.27151035303353
117618.36734693877,-23.078542480726856,23.725508055696007,22.872172734324938,82.15056594781626,25.6034426006737,-10.388332849636752,-8.201674075158152,75.55284713995748,1.7013352743054242,-18.824214459246466,20.004113671105085,-2.207753992340382,-2.137805789835694,-10.236472956782244,-11.689062066403366,-130.6712640677595
124963.26530612244,-24.394679760874933,25.184439401852075,24.279724052977492,86.83757061824292,27.084609098406926,-10.932022639802064,-8.529644003025023,79.71098492593406,1.8451713519251203,-19.903489104631706,21.180453414366664,-2.372989958998389,-2.277223756820553,-10.947775921858941,-12.555690049422557,-138.00149780671845
132308.16326530612,-25.6712859767875,26.62062419488165,25.676179448570263,91.40202684034789,28.532183378805854,-11.454560235720049,-8.80392564734985,83.73105629126812,2.001813639403775,-20.9515956758279,22.333863350262725,-2.5394728996081883,-2.4217288221906217,-11.660481661726633,-13.459157008507203,-145.1240922085152
139653.0612244898,-26.94789219270007,28.056808987911214,27.07263484416303,95.96648306245282,29.979757659204786,-11.977097831638021,-9.078207291674412,87.75112765660216,2.1584559268823282,-21.999702247024018,23.48727328615886,-2.705955840217974,-2.5662338875573556,-12.37318740159856,-14.362623967595452,-152.2466866103094
146997.95918367346,-28.2244984086126,29.492993780940804,28.469090239755843,100.53093928455775,31.427331939603707,-12.499635427555965,-9.352488935999068,91.77119902193621,2.3150982143609555,-23.047808818220183,24.64068322205487,-2.8724387808277765,-2.710738952922554,-13.085893141464558,-15.266090926677347,-159.36928101210958
154342.85714285713,-29.501104624525226,30.929178573970372,29.86554563534865,105.09539550666268,32.87490622000264,-13.022173023474023,-9.626770580323868,95.79127038727027,2.4717405018395207,-24.09591538941629,25.79409315795099,-3.0389217214375623,-2.8552440182909815,-13.798598881331827,-16.16955788576517,-166.49187541390125
161687.7551020408,-30.777710840437678,32.36536336699993,31.262001030941374,109.65985172876766,34.322480500401554,-13.544710619391957,-9.901052224648485,99.81134175260432,2.628382789318168,-25.144021960612434,26.947503093847036,-3.205404662047369,-2.9997490836543004,-14.511304621198672,-17.07302484484828,-173.61446981570816
169032.6530612245,-32.05431705635022,33.8015481600295,32.65845642653416,114.22430795087261,35.77005478080048,-14.067248215309915,-10.175333868973377,103.83141311793838,2.785025076796849,-26.19212853180856,28.100913029743076,-3.3718876026571447,-3.1442541490224105,-15.224010361064245,-17.976491803931395,-180.73706421750495
176377.55102040817,-33.33092327226288,35.237732953059115,34.054911822126975,118.78876417297757,37.2176290611994,-14.589785811227953,-10.449615513297966,107.85148448327244,2.9416673642753493,-27.24023510300473,29.2543229656392,-3.5383705432669545,-3.288759214385544,-15.936716100934902,-18.879958763020063,-187.85965861929748
183722.44897959183,-34.56902397312551,36.650438700864854,35.438658673997544,123.23629323380824,38.636495873887334,-15.091974410266852,-10.67950974301834,111.75027400583583,3.107196175784237,-28.259635685108556,30.384273794023674,-3.7034030470830346,-3.4415346035189844,-16.649509951482166,-19.81149650882184,-194.7926455141504
191067.3469387755,-35.802788597034976,38.06050049112991,36.82097442636266,127.6706552153634,40.052129960329026,-15.59187152414377,-10.904405539521516,115.63540607173104,3.2737256920490743,-29.27580370747238,31.511582910038207,-3.868272218307799,-3.595241307566081,-17.36231372410646,-20.74619528470396,-201.70428085094156
198412.24489795917,-37.03655322094448,39.4705622813949,38.20329017872783,132.10501719691854,41.46776404677074,-16.0917686380207,-11.129301336024403,119.52053813762625,3.4402552083139524,-30.291971729836177,32.63889202605264,-4.033141389532577,-3.74894801160934,-18.07511749672398,-21.68089406059354,-208.61591618769629
205757.14285714284,-38.270317844854034,40.88062407165991,39.58560593109301,136.53937917847372,42.883398133212424,-16.59166575189763,-11.35419713252758,123.40567020352148,3.606784724578724,-31.30813975219997,33.766201142067025,-4.198010560757366,-3.902654715655114,-18.78792126934827,-22.615592836472164,-215.5275515244739
213102.04081632654,-39.504082468763485,42.290685861924885,40.96792168345813,140.97374116002885,44.29903221965413,-17.091562865774616,-11.579092929030491,127.29080226941669,3.773314240843665,-32.32430777456374,34.89351025808155,-4.362879731982143,-4.056361419697896,-19.50072504196833,-23.5502916123528,-222.43918686124303
