Epsilon_XX_nanostrain_AVN2,Epsilon_XX_nanostrain_AVN87,Epsilon_XX_nanostrain_AVN32,Epsilon_XX_nanostrain_AVN31,Epsilon_XX_nanostrain_AVN22,Epsilon_YY_nanostrain_AVN2,Epsilon_YY_nanostrain_AVN87,Epsilon_YY_nanostrain_AVN32,Epsilon_YY_nanostrain_AVN31,Epsilon_YY_nanostrain_AVN22,Epsilon_ZZ_nanostrain_AVN2,Epsilon_ZZ_nanostrain_AVN87,Epsilon_ZZ_nanostrain_AVN32,Epsilon_ZZ_nanostrain_AVN31,Epsilon_ZZ_nanostrain_AVN22,Epsilon_XY_nanostrain_AVN2,Epsilon_XY_nanostrain_AVN87,Epsilon_XY_nanostrain_AVN32,Epsilon_XY_nanostrain_AVN31,Epsilon_XY_nanostrain_AVN22,Epsilon_XZ_nanostrain_AVN2,Epsilon_XZ_nanostrain_AVN87,Epsilon_XZ_nanostrain_AVN32,Epsilon_XZ_nanostrain_AVN31,Epsilon_XZ_nanostrain_AVN22,Epsilon_YZ_nanostrain_AVN2,Epsilon_YZ_nanostrain_AVN87,Epsilon_YZ_nanostrain_AVN32,Epsilon_YZ_nanostrain_AVN31,Epsilon_YZ_nanostrain_AVN22,Volume
227184915.19437936,6510339.632770439,-33253200.726683114,354688.5659608975,-26162557.888210967,-138638539.18757433,-6314007.404509086,221100962.42981207,-2491202.9630509424,52551464.68903321,97954829.79685093,4712196.188647597,182086045.1931242,4112337.049263555,26847463.306714784,72990198.9923451,9711545.979135204,-218329124.53014818,2730943.543562981,1715492.1036098031,2246308.401962187,-3755917.2728651185,-216109.99021995996,-873012.2537819511,-25444.418081420532,855990.3439310823,2026469.7361164046,303906.70293772395,58423.743771181995,223885.08525259013,547701.4484602106
250043148.55146393,15140820.101756725,-38932136.28681016,4009889.8004472116,-26043436.578498833,-145887750.645531,-1314143.7650618185,243436100.93243194,-2224085.6670545638,62083524.39503503,109361293.49252741,8420261.534206524,207609751.05900934,-5065336.952292898,28694113.417444326,84536491.72684707,7877743.341300057,-236564976.7199733,4499019.175328514,6584833.436464237,-3582840.56660729,-6472661.474177581,3012541.8296269225,-7305911.723592395,4696903.565310078,-162072.54873221504,-5273675.607845552,-462093.55813129275,5320654.1004493395,-1519570.633600885,547669.451944783
275154798.499908,10061211.414561082,-43286557.600860335,-1064478.969744526,-33992977.729796425,-158867314.37096113,-5042547.370597874,262208867.63739857,153627.95883593726,65441833.27743947,118399337.9198607,8580923.773500826,230040734.5554884,3137273.2920431904,31139073.49036254,91037005.7292193,11941086.967757106,-260457015.60407853,7789434.626166163,1290098.6347782728,-4883648.347256672,-855623.9851003779,-3149119.4230669383,-4808986.592790318,245383.20449484806,-761240.4099607216,-210084.66931404034,3741220.7762021213,1037565.5034843391,1516287.078362617,547630.0442969992
268708677.01627153,6761593.907427636,-39255896.209897846,4013738.4727657023,-32850368.41196644,-151469131.23180205,-170308.70299220178,265484073.3267933,1481657.090409419,60901647.58315528,117604661.46705966,6380353.352308422,226903081.77420053,-522703.73741631047,35753501.9071541,91126242.87751459,9568126.450602269,-264064779.02799088,6232898.952704528,11300836.932124827,4040415.107504008,2276762.0235521453,1579102.9174051816,4338135.0897503905,-2733719.805755082,-2883302.061502848,-3843893.404898606,842437.8539717502,-695422.234782006,1055070.9390145484,547546.3654797951
229171889.48029384,11251243.767152974,-31907762.267968826,-9127637.835479388,-28408665.367788754,-136631994.5013325,-4347058.647594811,227008073.1717154,1218805.320732371,55932227.22573712,97661254.3293184,14018897.175098147,186141124.20968392,-3589211.4415830653,29361806.0501138,79754845.6087208,13100716.513387749,-225122271.02006054,9556452.566644207,8429855.633620512,1042160.1333443625,4767698.048669765,-1700564.4790988485,5220759.222998743,4833958.785773388,-1833011.6456309608,-2069110.5309705383,1101335.4351567402,2632340.4933118965,3289614.8752339347,547511.9291601726
198589316.18382847,3503865.5817242004,-27085856.258592386,1914247.8906129496,-27841494.152115837,-115197081.88202417,3698929.0555512593,190789687.0305353,2916208.352275565,48516308.81176898,86660096.85686767,8172625.534459367,161534281.40781704,1061782.1203883793,21906451.058918014,64634326.84836042,8077680.627864403,-195371133.9809219,-110422.10850537755,2512948.348060617,-2386261.5077328524,234740.18893615328,-2531479.8784539187,-790437.2457435161,1710273.5925593425,2395374.3083513016,150171.32548834578,-1281728.7630922436,-7017747.372006208,-1621544.210325801,547380.6113511599
167892697.24659854,6963762.608357101,-28317195.33054606,-316630.5550616216,-18868649.87873789,-99298791.88488775,-3527928.219117919,170780555.59454745,289665.9714212029,37580504.03444297,69492706.24567911,-1166557.45714268,143273853.6752548,286063.5680212315,23439896.332265873,57301277.73664893,4676443.2202838175,-164176822.30104983,4753980.750402148,-2019674.8232370843,4913913.577597825,5168552.203512766,-352548.84409060003,1829842.8925826093,-3292125.4127200544,1588028.199293053,-2731011.299553396,-1525801.903362003,747770.9151284659,-858965.0411706491,547266.9197796944
147112610.31656373,-839054.0161660453,-22888075.70132694,-1455293.77500718,-16086706.437871158,-88410259.50805876,-1911994.4602329847,142283447.62067312,4825356.97588706,34974843.20509496,60685503.74095864,5084223.900799867,116667585.87108731,-2200191.6948413933,18553434.896423534,46098850.316308826,5210679.344279454,-141063072.7629293,2277306.3461006107,7215256.959904738,359319.9219585706,-4380484.967420128,-3296637.710982003,987815.6165302644,-604188.3688900794,-3104098.3453013245,-1220697.1808280942,-1354269.2456995,2446557.191452894,-3108486.38079267,547151.2680165556
121891713.42013459,379268.37826711684,-17655629.31261624,-141120.17690164462,-14428370.152048415,-68702528.82260066,1822083.6343089011,116436310.0495557,-658833.117769842,29634517.1993817,50923143.47341766,1735901.303775371,102953631.31233324,-30560.476138639176,17590526.623396613,41235376.08336935,6631203.813033946,-118652772.1376595,8397795.18877443,2128546.9421074004,3736194.2016354077,-5406471.715173268,-1766550.6120886465,9771748.466772934,-2779120.97240866,313958.74503335,3193616.3463514196,1267787.8150154816,-4692766.556651391,-1411876.2511122383,547016.5889305689
102066751.92804839,4548375.6489257,-12878452.89983373,-6677363.85079134,-13079350.782229686,-59378648.12237316,-4555404.716158878,104742077.66877499,8787974.374836,21520761.89937418,45060596.83434864,5981415.110714401,89171871.81434378,-1438188.5842835759,14816517.613829324,33920905.43881707,2754350.9756394196,-104822425.5892712,-1329065.6250980517,6056672.403533571,208596.15880154213,-176522.3449606288,-3809839.2262778548,3553291.956976617,-4388806.342037635,2383645.794647983,-1831083.8103690846,-1322569.7382394313,3630040.4252487896,1195963.7353713934,546878.0579507292
