parameter,label,value,value_plot,strain_rmse,volume_rmse,baseline_value,baseline_value_plot
y0_prime,Center y₀′ (m),-429.0,-429.0,99.15197813955784,,4.0,4.0
y0_prime,Center y₀′ (m),-212.5,-212.5,71.09292045188941,,4.0,4.0
y0_prime,Center y₀′ (m),4.0,4.0,49.20049579884035,,4.0,4.0
y0_prime,Center y₀′ (m),220.5,220.5,68.85650004004272,,4.0,4.0
y0_prime,Center y₀′ (m),437.0,437.0,96.9628500166421,,4.0,4.0
y0_prime,Center y₀′ (m),653.5,653.5,102.15765501029314,,4.0,4.0
y0_prime,Center y₀′ (m),870.0,870.0,98.47615239152269,,4.0,4.0
y0_prime,Center y₀′ (m),1086.5,1086.5,98.4991841765054,,4.0,4.0
y0_prime,Center y₀′ (m),1303.0,1303.0,98.53290453644897,,4.0,4.0
y0_prime,Center y₀′ (m),1519.5,1519.5,98.28816304612099,,4.0,4.0
y0_prime,Center y₀′ (m),1736.0,1736.0,98.06046527688453,,4.0,4.0
h,Depth h (m),259.145,259.145,161.58227484292706,,518.29,518.29
h,Depth h (m),291.538125,291.538125,126.57577028248802,,518.29,518.29
h,Depth h (m),323.93125,323.93125,99.07419904974512,,518.29,518.29
h,Depth h (m),356.324375,356.324375,78.02591713305767,,518.29,518.29
h,Depth h (m),388.7175,388.7175,62.833614880246785,,518.29,518.29
h,Depth h (m),421.11062499999997,421.11062499999997,53.129231781261765,,518.29,518.29
h,Depth h (m),453.50374999999997,453.50374999999997,48.37636361008144,,518.29,518.29
h,Depth h (m),485.89687499999997,485.89687499999997,47.52649430326384,,518.29,518.29
h,Depth h (m),518.29,518.29,49.20049579884035,,518.29,518.29
h,Depth h (m),550.683125,550.683125,52.19011720115189,,518.29,518.29
h,Depth h (m),583.07625,583.07625,55.69741414182428,,518.29,518.29
h,Depth h (m),615.4693749999999,615.4693749999999,59.27744242329067,,518.29,518.29
h,Depth h (m),647.8625,647.8625,62.70791534136555,,518.29,518.29
h,Depth h (m),680.255625,680.255625,65.89027593879086,,518.29,518.29
h,Depth h (m),712.64875,712.64875,68.79095301929306,,518.29,518.29
h,Depth h (m),745.0418749999999,745.0418749999999,71.40924026048593,,518.29,518.29
h,Depth h (m),777.435,777.435,73.76019863782167,,518.29,518.29
pmax,Peak pressure pmax (MPa),200000.0,0.2,81.23593412880244,,800000.0,0.8
pmax,Peak pressure pmax (MPa),387500.0,0.3875,67.65024867413518,,800000.0,0.8
pmax,Peak pressure pmax (MPa),575000.0,0.575,56.617784394883486,,800000.0,0.8
pmax,Peak pressure pmax (MPa),762500.0,0.7625,49.86310345454518,,800000.0,0.8
pmax,Peak pressure pmax (MPa),950000.0,0.95,49.18152981223562,,800000.0,0.8
pmax,Peak pressure pmax (MPa),1137500.0,1.1375,54.80013572469457,,800000.0,0.8
pmax,Peak pressure pmax (MPa),1325000.0,1.325,65.10779591138109,,800000.0,0.8
pmax,Peak pressure pmax (MPa),1512500.0,1.5125,78.27345344145192,,800000.0,0.8
pmax,Peak pressure pmax (MPa),1700000.0,1.7,93.09232058061616,,800000.0,0.8
pmax,Peak pressure pmax (MPa),1887500.0,1.8875,108.89152859950705,,800000.0,0.8
pmax,Peak pressure pmax (MPa),2075000.0,2.075,125.30079035109992,,800000.0,0.8
pmax,Peak pressure pmax (MPa),2262500.0,2.2625,142.10893475324943,,800000.0,0.8
pmax,Peak pressure pmax (MPa),2450000.0,2.45,159.18966305327837,,800000.0,0.8
pmax,Peak pressure pmax (MPa),2637500.0,2.6375,176.46383913297726,,800000.0,0.8
pmax,Peak pressure pmax (MPa),2825000.0,2.825,193.8797628229987,,800000.0,0.8
pmax,Peak pressure pmax (MPa),3012500.0,3.0125,211.40240432709172,,800000.0,0.8
pmax,Peak pressure pmax (MPa),3200000.0,3.2,229.00726820445698,,800000.0,0.8
tpeak,Time to peak tpeak (hours),196666.5,54.629583333333336,58.18520880290014,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),221249.8125,61.45828125,55.436435783584514,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),245833.125,68.28697916666667,53.289899979164446,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),270416.4375,75.11567708333334,51.659087959091174,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),294999.75,81.944375,50.46966267644366,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),319583.0625,88.77307291666666,49.66703444105997,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),344166.375,95.60177083333333,49.20872884737278,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),368749.6875,102.43046875,49.05912317340091,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),393333.0,109.25916666666667,49.20049579884035,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),417916.3125,116.08786458333333,49.57827738266692,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),442499.625,122.9165625,50.14412198088454,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),467082.9375,129.74526041666667,50.854522070649494,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),491666.25,136.57395833333334,51.67279705699422,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),516249.5625,143.40265625,52.56977473136611,,393333.0,109.25916666666667
tpeak,Time to peak tpeak (hours),540832.875,150.23135416666668,53.521977966068185,,393333.0,109.25916666666667
